x	C16H10	_uncrel_C16H10	x	C3H4-A	_uncrel_C3H4-A	x	CH4	_uncrel_CH4	x	C2H2	_uncrel_C2H2	x	C6H6	_uncrel_C6H5C2H	x	C12H10	_uncrel_C12H10	x	C14H10	_uncrel_C14H10	x	C13H10	_uncrel_C13H10	x	C15H10	_uncrel_C15H10	x	C7H8	_uncrel_C7H8	x	C6H5C2H	_uncrel_C6H5C2H	x	C10H8	_uncrel_C10H8	x	C12H8	_uncrel_C12H8	x	C10H7CH3	_uncrel_C10H7CH3	x	C14H8	_uncrel_C14H8	x	C9H8	_uncrel_C9H8
4.39E-01	1.57E-05	2.00E+00	4.35E-01	5.83E-02	3.00E-01	5.19E-01	5.98E-04	3.00E-01	4.98E-01	6.21E-03	3.00E-01	4.96E-01	1.47E-03	1.00E+00	4.92E-01	2.62E-05	1.00E+00	5.19E-01	1.55E-05	1.00E+00	5.17E-01	1.83E-05	2.00E+00	5.13E-01	8.20E-06	1.00E+00	5.15E-01	8.99E-05	1.00E+00	5.26E-01	7.84E-05	1.00E+00	5.20E-01	7.16E-05	1.00E+00	5.14E-01	4.38E-05	1.00E+00	5.19E-01	1.48E-05	1.00E+00	5.17E-01	8.46E-06	1.00E+00	5.39E-01	8.78E-05	2.00E+00
4.58E-01	1.59E-05	2.00E+00	4.57E-01	4.77E-02	3.00E-01	5.36E-01	4.88E-04	3.00E-01	5.15E-01	6.54E-03	3.00E-01	5.18E-01	1.41E-03	1.00E+00	5.12E-01	2.08E-05	1.00E+00	5.38E-01	1.48E-05	1.00E+00	5.38E-01	1.86E-05	2.00E+00	5.34E-01	7.93E-06	1.00E+00	5.38E-01	9.22E-05	1.00E+00	5.41E-01	7.29E-05	1.00E+00	5.38E-01	6.54E-05	1.00E+00	5.39E-01	4.42E-05	1.00E+00	5.30E-01	1.63E-05	1.00E+00	5.57E-01	6.94E-06	1.00E+00	5.57E-01	7.29E-05	2.00E+00
4.77E-01	1.49E-05	2.00E+00	4.76E-01	3.82E-02	3.00E-01	5.57E-01	3.78E-04	3.00E-01	5.40E-01	6.25E-03	3.00E-01	5.39E-01	1.28E-03	1.00E+00	5.34E-01	1.95E-05	1.00E+00	5.60E-01	1.24E-05	1.00E+00	5.59E-01	1.57E-05	2.00E+00	5.56E-01	7.40E-06	1.00E+00	5.56E-01	7.39E-05	1.00E+00	5.61E-01	5.84E-05	1.00E+00	5.56E-01	5.34E-05	1.00E+00	5.57E-01	3.35E-05	1.00E+00	5.56E-01	1.49E-05	1.00E+00	5.75E-01	2.60E-06	1.00E+00	5.77E-01	4.26E-05	2.00E+00
5.02E-01	1.53E-05	2.00E+00	4.95E-01	2.59E-02	3.00E-01	5.75E-01	2.56E-04	3.00E-01	5.54E-01	5.28E-03	3.00E-01	5.57E-01	9.37E-04	1.00E+00	5.56E-01	1.28E-05	1.00E+00	5.77E-01	7.93E-06	1.00E+00	5.77E-01	1.01E-05	2.00E+00	5.78E-01	4.75E-06	1.00E+00	5.74E-01	5.08E-05	1.00E+00	5.77E-01	3.20E-05	1.00E+00	5.77E-01	3.16E-05	1.00E+00	5.78E-01	1.59E-05	1.00E+00	5.73E-01	7.30E-06	1.00E+00	5.95E-01	9.12E-07	1.00E+00	5.95E-01	6.31E-06	2.00E+00
5.20E-01	1.33E-05	2.00E+00	5.14E-01	1.79E-02	3.00E-01	6.02E-01	1.17E-04	3.00E-01	5.75E-01	3.74E-03	3.00E-01	5.73E-01	4.79E-04	1.00E+00	5.76E-01	7.31E-06	1.00E+00	6.00E-01	2.13E-06	1.00E+00	5.98E-01	1.52E-06	2.00E+00	5.95E-01	1.78E-06	1.00E+00	5.97E-01	1.84E-05	1.00E+00	5.94E-01	5.75E-06	1.00E+00	5.97E-01	1.01E-05	1.00E+00	5.97E-01	1.81E-06	1.00E+00	5.97E-01	2.92E-06	1.00E+00						
5.42E-01	1.36E-05	2.00E+00	5.35E-01	1.02E-02	3.00E-01	6.16E-01	2.64E-05	3.00E-01	5.98E-01	1.75E-03	3.00E-01	5.95E-01	1.47E-04	1.00E+00	5.95E-01	1.70E-06	1.00E+00	6.18E-01	6.02E-07	1.00E+00	6.16E-01	6.00E-07	2.00E+00	6.13E-01	5.18E-07	1.00E+00																					
5.62E-01	1.23E-05	2.00E+00	5.54E-01	4.89E-03	3.00E-01	6.49E-01	1.65E-05	3.00E-01	6.17E-01	2.50E-04	3.00E-01																																				
5.82E-01	7.52E-06	2.00E+00	5.75E-01	1.75E-03	3.00E-01																																										
5.99E-01	4.53E-06	2.00E+00																																													
6.20E-01	2.48E-06	2.00E+00																																													
6.42E-01	1.85E-06	2.00E+00																																													
6.53E-01	8.25E-07	2.00E+00																																													
6.76E-01	1.29E-06	2.00E+00																																													
6.96E-01	8.64E-07	2.00E+00																																													
7.16E-01	4.42E-07	2.00E+00																																													
7.55E-01	7.28E-07	2.00E+00																																													
